12,酒米と食用米は大きく３つの違いがありますが、次のうち間違ってるものは？,米粒の大きさ,たんぱく質と脂質の含有量,心白の有無,ビタミン量の違い,4,低たんぱくと低脂質により、雑味が少ないスッキリとした味わいが生まれます。心白はフルーティーな味わいを生む、重要な要素となります。,酒
13,近年話題となった”獺祭”、他の日本酒と何が違う？,コンピュータ管理で生産,製造工程を簡略化,新種の酒米を使用,食用米を使用,1,当初は杜氏との経営陣との意見の相違による、杜氏の総上がり(大量退職）があり、苦肉の対応策だったとのこと。結果的に近代化とコスト削減にも成功したことになります。、,酒
14,日本酒の名称である吟醸と大吟醸、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,2,吟醸のカテゴリーでありながら、等級が上である大吟醸に引けを取らない銘柄も少なくありません。,酒
15,日本酒の名称である純米大吟醸と大吟醸、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,1,純米大吟醸は、醸造アルコールを加えてません。敢えて精米歩合を上げて、更に味の違いを出す酒蔵も、多くあります。,酒
16,日本酒の名称である本醸造と特別本醸造、違いは何？,醸造アルコールの含有量,精米の歩合,麹米の使用割合,特に基準は無い,2,本醸造と特別本醸造と共に、味のレベルが格段に上がっています。気軽に飲める日本酒として、長く愛されています。,酒
17,酒税法で定められた日本酒のアルコール度数の上限は？,１６度未満,１８度未満,２０度未満,２２度未満,4,発酵を止めて度数を調整したり、原酒と呼ばれる製造したままの日本酒に、加水してアルコール度数を調整しています。,酒
18,時代を超え、密かな人気の泡盛。主な水源はなに？,各地域の湧き水,水道水,海洋深層水,雨水の蒸溜水,2,沖縄県に所在する４７軒の蔵元のほとんどが、水源は水道水との情報です。企業秘密としている蔵元を除きます。,酒
19,高知県で作られている栗焼酎で、人気の銘柄は？,ドバド火振,テバド火振,ダバダ火振,ボバボ火振,3,沈下橋や天然うなぎで有名な四万十川を囲む山では、甘みが強く３Lサイズ程度の栗が育つそうです。,酒
20,酒税法で定められた焼酎のアルコール度数の上限は？,25度,35度,45度,55度,3,原料や製法の違いなどもありますが、46度以上の酒はリキュールやブランデーとして区分されることがあります。,酒
21,人間の身体になくてはならない三大栄養素。炭水化物、タンパク質、あと１つはなんでしょう？,脂質,ビタミン,塩分,食物繊維,1,脂質はエネルギー源として使われたり、細胞膜や臓器、そして神経などの構成成分となったりビタミンの運搬を助けたりするなどの役割があります。,健康
22,脂質1グラム当たりのカロリーはいくつでしょうか？,9キロカロリー,5キロカロリー,2キロカロリー,12キロカロリー,1,脂質には炭水化物やタンパク質の2倍のカロリーが含まれるので摂取しすぎると太りやすいです。気を付けましょう。,健康
23,一日にどのくらいの野菜を食べればいいといわれているでしょうか？,350g,250g,300g,400g,1,「緑黄色野菜」は 120ｇ以上、その他の野菜は 230 ｇ以上を目安にとりましょう。,健康
24,筋肉の元になる栄養素はなんでしょうか？,タンパク質,炭水化物,脂質,ミネラル,1,皮膚や髪の毛、筋肉などを形成し、ホルモンや免疫物質などの調整機能をつくる材料にもなっています。,健康
25,ノンカロリーは100㎖（グラム）あたり何キロカロリーでしょうか？,5キロカロリー未満,10キロカロリー未満,15キロカロリー未満,0カロリー,1,5キロカロリー未満であれば、ノンカロリーやカロリー０を名乗ってもよいと決められています。,健康
26,1815年3月パリに戻って再び皇帝となったナポレオンが、1815年6月に大敗した戦いを何と呼ぶ？,オランダ戦争,アウステルリッツの三帝会戦,ワーテルローの戦い,ファルツ戦争,3,"1815年3月、ナポレオンはパリに戻って再び皇帝の座につくが、それは“百日天下”に終わる。1815年6月、ワーテルローの戦いで大敗して、南大西洋のセントヘレナ島に流され、1821年にナポレオンはこの地で死亡した。

",世界史
27,1862年にヴィルヘルム1世からプロイセン首相に任じられた人物は誰か？,シュトレーゼマン,ディズレーリ,エーベルト,ビスマルク,4,"1862年にヴィルヘルム1世からプロイセン首相に任じられたのは、ビスマルクである。
ビスマルクは、鉄（武器）と血（兵士）、つまり軍事力を拡張する鉄血政策を進め、卓越した外交能力を発揮してヨーロッパの列強と渡り合った。",世界史
28,19世紀、オスマン帝国内の問題に干渉して対立するようになった、この国際対立を何と呼ぶ？,新絶対主義,南下政策,諸国民の春,東方問題,4,勢力拡張を狙うロシア・イギリス・フランスなどの列強は、こうしたオスマン帝国内の問題に干渉して対立するようになった。 この国際対立は、西欧の側からみて東方問題と呼ばれた。,世界史
29,1894～1895年、日清戦争がおきた、1895年に日本と清のあいだで結ばれた条約はどれか？,日中平和友好条約,下関条約,南京条約,北京条約,2,"1895年に日本と清のあいだで下関条約が結ばれた。
清は、朝鮮の独立、日本に対する遼東半島・台湾・澎湖諸島の割譲、賠償金の支払い、通商上の特権の付与、開港場での企業の設立などを認めた。",世界史
30,1825年、南米でスペインから独立した共和国はどこか？,ボリビア,ウルグアイ,ブラジル,パラグアイ,1,"1825年、南米でスペインから独立したのはボリビア共和国である。
スペイン本国がナポレオンに占領されて弱体化したことをきっかけに、南米のスペイン領では独立運動が盛んになった。",世界史
31,日本一小さな都道府県は？,香川県,島根県,東京都,沖縄県,1,"面積は約１８７５平方メートル。
東京ドーム約４万個分です。",地理
32,日本で一番。夜が短い場所は？,北海道小樽,北海道函館,北海道稚内,沖縄県石垣島,3,"ここは単純に
北に行けばいくほど夜が短くなるのです。
稚内は、日本の最北端の地ですから
必然的に夜は短い訳です。",地理
33,世界で最も寒い場所は?,"北極
",南極,北極と南極(実質同じ寒さ),ロシア,2,"北極は基本的に、氷山の高さは数メートル。
一方の南極は、平均２５００メートルもある厚い氷で覆われているのです。
一見すると北極も南極も同じくらいに見えますが実は寒さにかなりの差があったのですね。
",地理
34,"世界一の長距離列車はどれ?

",ヴィヴェック エクスプレス（インド）,大陸横断鉄道（アメリカ）,"シベリア鉄道（ロシア）
",大陸横断鉄道（オーストラリア）,3,"実に９２９７キロもあり、列車にも関わらず、片道７日間かかります。
地球１周が約４万キロですから地球の４分の１を列車で行っているんですね。
",地理
35,世界で面積の小さい国ベスト３はどれ？,"① バチカン市国
② ツバル国
③ サンマリノ共和国
","① モナコ公国
② バチカン市国
③ トンガ王国","① バチカン市国
② モナコ公国
③ ナウル共和国","① ナウル共和国
② トンガ王国
③ サンマリノ共和国

",3,"１位：バチカン市国(０．４４キロ平方メートル)
２位：モナコ公国（１．４９キロ平方メートル）
３位：ナウル共和国（２１キロ平方メートル）

一番小さいのがバチカンなのは有名ですが
２位３位はなかなか知らない人が多いと思います。",地理
36,Web環境での動的処理を実現するプログラムであって，Webサーバ上だけで動作するものはどれか。,"JavaScript
",Javaアプレット,Javaサーブレット,VBScript,3,Javaサーブレットは、Javaを用いてWebページのためのHTML文書を動的に生成したり、データ処理をWebサーバ上で実行するサーバサイドのプログラム技術です。JavaサーブレットはJava言語で書かれているのでさまざまなプラットフォームで使用できる利点があります。,ＩＴ関連
37,複数のLAN同士を，ネットワーク層で相互に接続するのに使用する装置はどれか。,ハブ,ブリッジ,リピータ,ルータ,4,LAN同士を接続する機器にはいくつかありますが、問題文に「ネットワーク層で相互に接続」とあるのでIPアドレスを用いて転送経路を決めるルータが該当します。,ＩＴ関連
38,検索サイトの検索結果の上位に悪意のあるサイトが並ぶように細工する攻撃の名称はどれか。,DNSキャッシュポイズニング,SEOポイズニング,クロスサイトスクリプティング,ソーシャルエンジニアリング,2,SEOポイズニングは、ウイルスなどを仕込んだ悪意のあるページ(又はそのページへの入口となるページ)に様々なSEO対策を施すことで検索結果の上位に表示させ、キーワードの検索などによって訪れた不特定多数のユーザに対して「マルウェアのダウンロード」や「不正サイトへのリダイレクト」などの仕掛けを用いて攻撃する行為です。,ＩＴ関連
39,"記録媒体の記録層として有機色素を使い，レーザ光にで焦げ跡を作ってデータを記録する光ディスクはどれか。
",CD-R,CD-RW,DVD-RAM,DVD-ROM,1,記録済みで市販されているCD-ROMはアルミニウム製の薄膜に記録するのに対し、CD-R(Compact Disc Recordable)では金属薄膜に塗布された有機色素の有無で反射の度合いを変化させます。,ＩＴ関連
40,データを分散して複数の磁気ディスクに書くことで，データを高速化する方式はどれか。,ストライピング,スワッピング,ディスクキャッシュ,ミラーリング,1,ストライピングは、複数のディスクに分散してデータを書き込むことで、アクセス性能を向上させる手法です。,ＩＴ関連
41,鯛の形をした和菓子、たい焼き。元々は違う形だったのですが、それはどれ？,タコ,カメ,ヒヨコ,ネコ,2,当初はカメの形で売り出したものの、いまいちだったようです。現状の鯛の形にしたところ大ヒットしたようです。,雑学
42,"日本語の""手紙""という言葉、中国語では全く違うものになるようです。それはどれ。",ティッシュペーパー,電車などの切符,領収書,トイレットペーパー,4,中国語だとトイレットペーパーになってしまうようです。・・・なので中国の方に”手紙を送るよ”と伝えると、トイレットペーパー送ることになるので注意が必要です。中国語では”書信”と言うようです。,雑学
43,魚のタラ(鱈)はギリシャ語では何と呼ばれている？。,クソヤロウ,バカヤロウ,ノロマヤロウ,マヌケヤロウ,2,正しくはバカヤロス(μπακαλιάρος)らしいですが、バカヤロウに聞こえるようです。ちなみに、食堂はタベルナ(ταβέρνα)と言うようです。,雑学
44,信号機の青信号。緑色に見えるのに、なぜ青色？,命名した人が色弱だった,青で注文したけど緑が納品された,緑色を青と表現することに違和感が無かった,語呂がよかったから,3,1930年日本で最初に日比谷交差点に信号機が設置された時は”緑信号”と表現されていたようですが、日本語では緑色野菜を”青果”、新緑を”青々とした緑”などと緑を青と表現する習慣があり、青色とすることに違和感が無く、当時の新聞記事などで”青信号”と表現され定着したようです。 ,雑学
45,スターウォーズに登場するダースベーダー。あのヘルメットは戦国時代の兜がモデルになっていますが、どの武将？,織田信長,真田幸村,上杉謙信,伊達政宗,4,"伊達政宗の漆黒の鎧兜がモデルになっており、映画構想段階の1975年頃に、宮城の仙台市立博物館は映画関係者からの依頼を受けて、伊達政宗所蔵とされてる""黒漆塗五枚胴具足""の写真をハリウッドに送ったそうです。この映画は他にも日本映画や文化の影響を受けているといわれています。",雑学
46,アニメ制作で有名なスタジオジブリ。この会社の制作作品じゃないものはどれ？,崖の上のポニョ,天空の城ラピュタ,ゲド戦記,風の谷のナウシカ,4,”風の谷のナウシカ”の監督は宮崎駿ですが、制作はトップクラフトという会社となります。そのあとの作品の”天空の城ラピュタ”制作時にトップクラフトが解体、スタッフなどをそのまま移行する形でスタジオジブリが設立されたようです。なお、現時点で風の谷のナウシカの著作権はスタジオジブリが保有しており、その為、ジブリブランドとして扱われているようです。,雑学
47,オリンピックの公用語はどれ？,英語,ドイツ語,ギリシャ語,フランス語,4,"現代オリンピックは古代ギリシャのオリンピアの祭典をもとに創設されましたが、その創設者はフランス人の""ピエール・ド・クーベルタン男爵""であり、この方の出身地であるフランスに敬意を払い、オリンピックの第一公用語はフランス語となっているようです。",雑学
48,烏(カラス)という文字、鳥(トリ)に対して横棒が一つない理由は？,嫌われ者だから,漢字を作った偉い人が書き忘れた,黒くて目の位置がわからないから,”カラ”スだから四角の中をカラ(空)にした,3,漢字は造形文字が元になっていますが、横棒は目の位置を表しており、普通の鳥に比べて目の位置が非常に分かりにくいことから、この横棒がなくなり、現在の表記になったようです。なお、カラスを表すもう一つの文字”鴉”については、”牙”の部分はカラスが”ガーガー”鳴くので、その当て字としてつけられたようです。,雑学
49,ワイシャツの名前の由来は？,作った人が”ワイが作ったシャツや！”といったから,スーツなど襟元がY字形の服のために作ったから,”ホワイトシャツ”がなまって呼ばれた,発明した人のイニシャルがYだった,3,ホワイト(white)シャツがなまってこう呼ばれており、本来は色だけを言及した呼び方だったようで、英語圏の方に色つきのワイシャツをこう呼ぶと訂正されることもあるようです。,雑学
50,洋服、バッグ等でよく使用される留め具の”チャック”。この言葉は何語？,日本語,ドイツ語,英語,スペイン語,1,チャックという言葉は、1972年に尾道で”巾着”からもじってこの留め具のことを”チャック印”として販売したところ評判になり、この名前が定着したようです。,雑学
